alpha beta gamma integral
-2.0 0.5 0.0 4.466090035976274e-45
-2.0 0.5 0.5 9.016756308918442e-46
-2.0 0.5 1.0 2.197667148688209e-46
-2.0 0.5 1.5 8.147271729175489e-47
-2.0 0.5 2.0 6.181975860145452e-47
-2.0 1.125 0.0 5.499122420665041e-45
-2.0 1.125 0.5 1.1102384049722228e-45
-2.0 1.125 1.0 2.7060002358122054e-46
-2.0 1.125 1.5 1.0031782671700122e-46
-2.0 1.125 2.0 7.611902532794465e-47
-2.0 1.75 0.0 5.914129175125715e-45
-2.0 1.75 0.5 1.194025671717486e-45
-2.0 1.75 1.0 2.9102161614686557e-46
-2.0 1.75 1.5 1.0788859392231403e-46
-2.0 1.75 2.0 8.1863561862601345e-47
-2.0 2.375 0.0 6.111842388681717e-45
-2.0 2.375 0.5 1.233942732308001e-45
-2.0 2.375 1.0 3.007506594664908e-46
-2.0 2.375 1.5 1.114953803111091e-46
-2.0 2.375 2.0 8.460031437674497e-47
-2.0 3.0 0.0 6.219747024012813e-45
-2.0 3.0 0.5 1.2557280029484422e-45
-2.0 3.0 1.0 3.0606041521140595e-46
-2.0 3.0 1.5 1.1346383230781821e-46
-2.0 3.0 2.0 8.609393372933558e-47
-0.5 0.5 0.0 8.192715909550793e-45
-0.5 0.5 0.5 1.654058074726441e-45
-0.5 0.5 1.0 4.031459838005527e-46
-0.5 0.5 1.5 1.4945574804216513e-46
-0.5 0.5 2.0 1.1340383103315845e-46
-0.5 1.125 0.0 9.640403024290912e-45
-0.5 1.125 0.5 1.9463370440266984e-45
-0.5 1.125 1.0 4.743835627121949e-46
-0.5 1.125 1.5 1.7586520286193467e-46
-0.5 1.125 2.0 1.334427615613709e-46
-0.5 1.75 0.0 1.0339027821815012e-44
-0.5 1.75 0.5 2.08738501887491e-45
-0.5 1.75 1.0 5.087613910678663e-46
-0.5 1.75 1.5 1.8860987665112935e-46
-0.5 1.75 2.0 1.4311314795932204e-46
-0.5 2.375 0.0 1.0730672888982165e-44
-0.5 2.375 0.5 2.166455707145624e-45
-0.5 2.375 1.0 5.280334050918938e-46
-0.5 2.375 1.5 1.9575446791081826e-46
-0.5 2.375 2.0 1.4853431128444325e-46
-0.5 3.0 0.0 1.0973305354426822e-44
-0.5 3.0 0.5 2.2154416836020594e-45
-0.5 3.0 1.0 5.399728284850091e-46
-0.5 3.0 1.5 2.0018069445433502e-46
-0.5 3.0 2.0 1.5189283749458166e-46
1.0 0.5 0.0 2.4567172906635684e-44
1.0 0.5 0.5 4.959958476291101e-45
1.0 0.5 1.0 1.2088979039414751e-45
1.0 0.5 1.5 4.481670357643058e-46
1.0 0.5 2.0 3.40059579268294e-46
1.0 1.125 0.0 2.281477707541044e-44
1.0 1.125 0.5 4.606160723902787e-45
1.0 1.125 1.0 1.1226662624215115e-45
1.0 1.125 1.5 4.1619892742108615e-46
1.0 1.125 2.0 3.1580286111262016e-46
1.0 1.75 0.0 2.292553440635637e-44
1.0 1.75 0.5 4.6285219359366e-45
1.0 1.75 1.0 1.128116393201131e-45
1.0 1.75 1.5 4.1821941976213995e-46
1.0 1.75 2.0 3.173359675675423e-46
1.0 2.375 0.0 2.3368341120735103e-44
1.0 2.375 0.5 4.717921840626006e-45
1.0 2.375 1.0 1.1499059621880892e-45
1.0 2.375 1.5 4.262973281708054e-46
1.0 2.375 2.0 3.234653120208529e-46
1.0 3.0 0.0 2.3778162627248964e-44
1.0 3.0 0.5 4.800662238258441e-45
1.0 3.0 1.0 1.1700723998200284e-45
1.0 3.0 1.5 4.337735034093966e-46
1.0 3.0 2.0 3.291380741905106e-46
2.5 0.5 0.0 1.7500422547603187e-43
2.5 0.5 0.5 3.53322580027981e-44
2.5 0.5 1.0 8.61158270684587e-45
2.5 0.5 1.5 3.192517318776915e-45
2.5 0.5 2.0 2.4224139876297563e-45
2.5 1.125 0.0 8.7972597165366e-44
2.5 1.125 0.5 1.776111686313904e-44
2.5 1.125 1.0 4.3289428833210684e-45
2.5 1.125 1.5 1.604841478908639e-45
2.5 1.125 2.0 1.2177194540407648e-45
2.5 1.75 0.0 7.015825402930521e-44
2.5 1.75 0.5 1.4164512460464892e-44
2.5 1.75 1.0 3.452337253559689e-45
2.5 1.75 1.5 1.2798630457890467e-45
2.5 1.75 2.0 9.7113275662905e-46
2.5 2.375 0.0 6.64123393187457e-44
2.5 2.375 0.5 1.3408235721146435e-44
2.5 2.375 1.0 3.2680088223173715e-45
2.5 2.375 1.5 1.2115281381284291e-45
2.5 2.375 2.0 9.192816875097491e-46
2.5 3.0 0.0 6.556045274352001e-44
2.5 3.0 0.5 1.3236245152443762e-44
2.5 3.0 1.0 3.22608931049157e-45
2.5 3.0 1.5 1.1959875839638442e-45
2.5 3.0 2.0 9.074898467694049e-46
4.0 0.5 0.0 2.660159873099288e-42
4.0 0.5 0.5 5.370696319438714e-43
4.0 0.5 1.0 1.3090076367192963e-43
4.0 0.5 1.5 4.852800806657098e-44
4.0 0.5 2.0 3.6822016545021476e-44
4.0 1.125 0.0 6.204869143034704e-43
4.0 1.125 0.5 1.252724251880012e-43
4.0 1.125 1.0 3.0532830658833076e-44
4.0 1.125 1.5 1.1319242233151554e-44
4.0 1.125 2.0 8.588799363337716e-45
4.0 1.75 0.0 3.067436516087982e-43
4.0 1.75 0.5 6.192962375555217e-44
4.0 1.75 1.0 1.5094197402627063e-44
4.0 1.75 1.5 5.595775859252502e-45
4.0 1.75 2.0 4.245955263380479e-45
4.0 2.375 0.0 2.477807547966848e-43
4.0 2.375 0.5 5.002538386025161e-44
4.0 2.375 1.0 1.2192759673614768e-44
4.0 2.375 1.5 4.520144292495222e-45
4.0 2.375 2.0 3.4297889931072196e-45
4.0 3.0 0.0 2.2845106014722225e-43
4.0 3.0 0.5 4.612283946960972e-44
4.0 3.0 1.0 1.124158684496372e-44
4.0 3.0 1.5 4.1675220357055983e-45
4.0 3.0 2.0 3.1622267524350186e-45
